,t,o,h,l,c,v
0,1525622400,9594.1,9615.0,9577.5,9597.9,307.34869999999995
1,1525626000,9597.9,9649.8,9597.9,9609.92,469.1762
2,1525629600,9610.0,9627.9,9562.0,9580.9,351.9657
3,1525633200,9581.0,9594.0,9530.9,9552.1,485.8124
4,1525636800,9552.0,9589.8,9536.2,9553.7,677.0355
5,1525640400,9557.4,9587.5,9541.0,9565.2,643.4211
6,1525644000,9565.2,9674.3,9565.2,9651.5,777.5899999999999
7,1525647600,9651.5,9667.0,9609.5,9658.7,357.8383
8,1525651200,9658.6,9677.9,9482.0,9482.1,1201.8339999999998
9,1525654800,9482.2,9487.4,9311.0,9356.9,3467.973
10,1525658400,9356.9,9375.8,9280.0,9339.1,1187.58
11,1525662000,9338.7,9355.9,9259.4,9355.9,1225.939
12,1525665600,9355.9,9387.8,9340.11,9353.8,772.4104
13,1525669200,9353.8,9400.0,9299.9,9370.3,916.765
14,1525672800,9370.2,9383.9,9358.58,9373.1,426.95680000000004
15,1525676400,9373.0,9373.1,9258.0,9325.1,1380.5780000000002
16,1525680000,9325.1,9418.0,9286.0,9403.4,1321.906
17,1525683600,9400.72,9400.72,9263.0,9280.9,1831.118
18,1525687200,9281.3,9338.4,9281.3,9303.9,622.3138
19,1525690800,9303.8,9346.4,9274.9,9337.5,474.20529999999997
20,1525694400,9339.64,9371.4,9306.1,9339.7,447.51210000000003
21,1525698000,9339.7,9339.7,9270.0,9278.8,899.591
22,1525701600,9278.8,9330.4,9182.7,9302.4,3162.1400000000003
23,1525705200,9302.0,9365.7,9302.0,9356.0,723.0440000000001
24,1525708800,9356.0,9414.1,9333.3,9348.0,1226.6899999999998
25,1525712400,9348.1,9395.84,9346.8,9350.9,560.0160000000001
26,1525716000,9350.9,9380.1,9348.0,9377.0,323.8304
27,1525719600,9377.0,9449.0,9376.0,9426.5,1065.305
28,1525723200,9426.4,9444.1,9378.6,9440.2,569.9206
29,1525726800,9440.2,9449.0,9391.0,9391.8,573.6154
30,1525730400,9391.2,9391.8,9280.8,9310.54,964.407
31,1525734000,9310.54,9373.9,9286.6,9370.0,431.87429999999995
32,1525737600,9370.0,9405.8,9353.3,9379.9,576.2755999999999
33,1525741200,9380.0,9445.0,9380.0,9415.0,705.9830000000001
34,1525744800,9415.0,9471.0,9414.0,9434.0,982.8625999999999
35,1525748400,9434.0,9452.9,9395.3,9433.3,662.2681
36,1525752000,9433.3,9433.3,9401.0,9416.44,318.94370000000004
37,1525755600,9416.5,9416.5,9315.1,9325.0,1205.065
38,1525759200,9325.0,9362.0,9305.0,9324.7,749.2280000000001
39,1525762800,9324.8,9370.0,9324.7,9355.1,972.6410000000001
40,1525766400,9355.2,9394.1,9355.1,9389.3,650.122
41,1525770000,9389.3,9389.3,9259.4,9300.2,2280.0950000000003
42,1525773600,9300.2,9351.1,9276.1,9297.2,1496.855
43,1525777200,9297.1,9303.7,9169.7,9206.0,2544.828
44,1525780800,9206.0,9206.1,9045.3,9129.9,3614.215
45,1525784400,9129.8,9177.1,9106.2,9127.77,659.8195999999999
46,1525788000,9127.77,9170.1,9095.1,9133.1,965.075
47,1525791600,9133.1,9185.3,9119.6,9185.3,1544.247
48,1525795200,9185.3,9185.3,9111.4,9125.4,692.9444
49,1525798800,9125.5,9166.5,9120.5,9125.0,570.3670999999999
50,1525802400,9125.0,9244.7,9065.0,9217.2,1227.431
51,1525806000,9217.3,9272.2,9199.5,9237.6,845.2592999999999
52,1525809600,9243.9,9248.9,9159.2,9161.6,578.223
53,1525813200,9161.6,9240.0,9161.5,9185.5,395.8605
54,1525816800,9185.5,9255.8,9185.4,9207.1,717.4465
55,1525820400,9205.7,9257.8,9169.8,9184.7,900.421
56,1525824000,9184.8,9203.1,9125.0,9129.9,709.9359999999999
57,1525827600,9129.9,9170.0,9129.9,9167.6,232.7112
58,1525831200,9167.7,9170.0,9082.0,9084.1,1045.5574
59,1525834800,9084.1,9089.6,9008.0,9048.0,2409.495
